Periode,Harga
2021-01-03,"14500"
2021-01-10,"14500"
2021-01-17,"14500"
2021-01-24,"14500"
2021-01-31,"14500"
2021-02-07,"14550"
2021-02-14,"14500"
2021-02-21,"14500"
2021-02-28,"14550"
2021-03-07,"14650"
2021-03-14,"14650"
2021-03-21,"14700"
2021-03-28,"14700"
2021-04-04,"14800"
2021-04-11,"14900"
2021-04-18,"14850"
2021-04-25,"14900"
2021-05-02,"15000"
2021-05-09,"15100"
2021-05-16,"15150"
2021-05-23,"15050"
2021-05-30,"15300"
2021-06-06,"15250"
2021-06-13,"15300"
2021-06-20,"15350"
2021-06-27,"15300"
2021-07-04,"15300"
2021-07-11,"15350"
2021-07-18,"15750"
2021-07-25,"15500"
2021-08-01,"15650"
2021-08-08,"15600"
2021-08-15,"16050"
2021-08-22,"15850"
2021-08-29,"15900"
2021-09-05,"16000"
2021-09-12,"16050"
2021-09-19,"16100"
2021-09-26,"16150"
2021-10-03,"16250"
2021-10-10,"16550"
2021-10-17,"16850"
2021-10-24,"17100"
2021-10-31,"17150"
2021-11-07,"18000"
2021-11-14,"18100"
2021-11-21,"18550"
2021-11-28,"18600"
2021-12-05,"19200"
2021-12-12,"19050"
2021-12-19,"19550"
2021-12-26,"19750"
2022-01-02,"20050"
2022-01-09,"20200"
2022-01-16,"20350"
2022-01-23,"20150"
2022-01-30,"19700"
2022-02-06,"18900"
2022-02-13,"18700"
2022-02-20,"18450"
2022-02-27,"18500"
2022-03-06,"19150"
2022-03-13,"19600"
2022-03-20,"22900"
2022-03-27,"23800"
2022-04-03,"24100"
2022-04-10,"24350"
2022-04-17,"24600"
2022-04-24,"24800"
2022-05-01,"23400"
2022-05-08,"24500"
2022-05-15,"24050"
2022-05-22,"24100"
2022-05-29,"23900"
2022-06-05,"23850"
2022-06-12,"23600"
2022-06-19,"23400"
2022-06-26,"23200"
2022-07-03,"22800"
2022-07-10,"22400"
2022-07-17,"21750"
2022-07-24,"21250"
2022-07-31,"20800"
2022-08-07,"20500"
2022-08-14,"20250"
2022-08-21,"20250"
2022-08-28,"20050"
2022-09-04,"19900"
2022-09-11,"19750"
2022-09-18,"19600"
2022-09-25,"19450"
2022-10-02,"19350"
2022-10-09,"19250"
2022-10-16,"19100"
2022-10-23,"19050"
2022-10-30,"19050"
2022-11-06,"19150"
2022-11-13,"19150"
2022-11-20,"19150"
2022-11-27,"19200"
2022-12-04,"19150"
2022-12-11,"19150"
2022-12-18,"19200"
2022-12-25,"19250"
2023-01-01,"19250"
2023-01-08,"19250"
2023-01-15,"19350"
2023-01-22,"19400"
2023-01-29,"19450"
2023-02-05,"19400"
2023-02-12,"19400"
2023-02-19,"19400"
2023-02-26,"19400"
2023-03-05,"19450"
2023-03-12,"19500"
2023-03-19,"19550"
2023-03-26,"19500"
2023-04-02,"19500"
2023-04-09,"19450"
2023-04-16,"19200"
2023-04-23,"19550"
2023-04-30,"19500"
2023-05-07,"19450"
2023-05-14,"19450"
2023-05-21,"19450"
2023-05-28,"19500"
2023-06-04,"19450"
2023-06-11,"19400"
2023-06-18,"19300"
2023-06-25,"19300"
2023-07-02,"19200"
2023-07-09,"19200"
2023-07-16,"19200"
2023-07-23,"19150"
2023-07-30,"19150"
2023-08-06,"19150"
2023-08-13,"19100"
2023-08-20,"19100"
2023-08-27,"19100"
