Periode,Harga
1/1/2020,"10350"
1/8/2020,"10350"
1/15/2020,"10350"
1/22/2020,"10350"
1/29/2020,"11100"
2/5/2020,"11100"
2/12/2020,"11100"
2/19/2020,"11100"
2/26/2020,"10950"
3/4/2020,"10950"
3/11/2020,"10950"
3/18/2020,"10950"
3/25/2020,"10700"
4/1/2020,"10800"
4/8/2020,"10800"
4/15/2020,"10800"
4/22/2020,"10950"
4/29/2020,"10900"
5/6/2020,"10900"
5/13/2020,"10900"
5/20/2020,"10700"
5/27/2020,"10550"
6/3/2020,"10550"
6/10/2020,"10550"
6/17/2020,"10550"
6/24/2020,"10600"
7/1/2020,"10550"
7/8/2020,"10550"
7/15/2020,"10550"
7/22/2020,"10550"
7/29/2020,"10700"
8/5/2020,"10700"
8/12/2020,"10700"
8/19/2020,"10700"
8/26/2020,"11050"
9/2/2020,"11050"
9/9/2020,"11050"
9/16/2020,"11050"
9/23/2020,"11150"
9/30/2020,"11350"
10/7/2020,"11350"
10/14/2020,"11350"
10/21/2020,"11350"
10/28/2020,"11750"
11/4/2020,"11750"
11/11/2020,"11750"
11/18/2020,"11750"
11/25/2020,"12050"
12/2/2020,"12050"
12/9/2020,"12050"
12/16/2020,"12050"
12/23/2020,"11950"
12/30/2020,"12050"
1/6/2021,"12050"
1/13/2021,"12050"
1/20/2021,"12050"
1/27/2021,"11900"
2/3/2021,"11900"
2/10/2021,"11900"
2/17/2021,"11900"
2/24/2021,"12150"
3/3/2021,"11950"
3/10/2021,"11950"
3/17/2021,"11950"
3/24/2021,"12000"
3/31/2021,"11950"
4/7/2021,"11950"
4/14/2021,"11950"
4/21/2021,"11950"
4/28/2021,"11700"
5/5/2021,"11700"
5/12/2021,"11700"
5/19/2021,"11700"
5/26/2021,"12600"
6/2/2021,"12600"
6/9/2021,"12600"
6/16/2021,"12600"
6/23/2021,"12550"
6/30/2021,"12450"
7/7/2021,"12450"
7/14/2021,"12450"
7/21/2021,"12450"
7/28/2021,"12600"
8/4/2021,"12600"
8/11/2021,"12600"
8/18/2021,"12600"
8/25/2021,"13500"
9/1/2021,"13500"
9/8/2021,"13500"
9/15/2021,"13500"
9/22/2021,"13600"
9/29/2021,"13700"
10/6/2021,"13700"
10/13/2021,"13700"
10/20/2021,"13700"
10/27/2021,"14800"
11/3/2021,"14800"
11/10/2021,"14800"
11/17/2021,"14800"
11/24/2021,"15150"
12/1/2021,"15950"
12/8/2021,"15950"
12/15/2021,"15950"
12/22/2021,"15950"
12/29/2021,"16750"
1/5/2022,"16750"
1/12/2022,"16750"
1/19/2022,"16750"
1/26/2022,"17250"
2/2/2022,"17600"
2/9/2022,"17600"
2/16/2022,"17600"
2/23/2022,"17000"
3/2/2022,"14750"
3/9/2022,"14750"
3/16/2022,"14750"
3/23/2022,"15500"
3/30/2022,"17050"
4/6/2022,"17050"
4/13/2022,"17050"
4/20/2022,"17000"
4/27/2022,"20300"
5/4/2022,"20300"
5/11/2022,"20300"
5/18/2022,"20300"
5/25/2022,"18850"
6/1/2022,"18850"
6/8/2022,"18850"
6/15/2022,"18850"
6/22/2022,"18600"
6/29/2022,"18250"
7/6/2022,"18250"
7/13/2022,"18250"
7/20/2022,"18250"
7/27/2022,"15100"
8/3/2022,"15100"
8/10/2022,"15100"
8/17/2022,"15100"
8/24/2022,"15050"
8/31/2022,"14400"
9/7/2022,"14400"
9/14/2022,"14400"
9/21/2022,"14400"
9/28/2022,"13950"
10/5/2022,"13950"
10/12/2022,"13950"
10/19/2022,"13950"
10/26/2022,"14150"
11/2/2022,"14200"
11/9/2022,"14200"
11/16/2022,"14200"
11/23/2022,"14300"
11/30/2022,"14650"
12/7/2022,"14650"
12/14/2022,"14650"
12/21/2022,"14650"
12/28/2022,"14900"
1/4/2023,"14900"
1/11/2023,"14900"
1/18/2023,"14900"
1/25/2023,"15600"
2/1/2023,"15600"
2/8/2023,"15600"
2/15/2023,"15600"
2/22/2023,"15600"
3/1/2023,"15450"
3/8/2023,"15450"
3/15/2023,"15450"
3/22/2023,"15450"
3/29/2023,"15600"
4/5/2023,"15600"
4/12/2023,"15600"
4/19/2023,"15500"
4/26/2023,"15500"
5/3/2023,"15500"
5/10/2023,"15500"
5/17/2023,"15500"
5/24/2023,"15550"
5/31/2023,"15600"
6/7/2023,"15600"
6/14/2023,"15600"
6/21/2023,"15550"
6/28/2023,"15350"
7/5/2023,"15350"
7/12/2023,"15350"
7/19/2023,"15350"
7/26/2023,"15300"
8/2/2023,"15300"
8/9/2023,"15300"
8/16/2023,"15300"
8/23/2023,"15450"
8/30/2023,"15150"
9/6/2023,"15150"
9/13/2023,"15150"
9/20/2023,"15150"
9/27/2023,"15100"
10/4/2023,"15100"
10/11/2023,"15100"
10/18/2023,"15100"
10/25/2023,"15100"
